,all,nt1,nt2,nt12,nt1pct,nt2pct,nt12pct
2009-12-15,31957139,8616260,3252314,3252119,0.26961925471488546,0.10177112538140538,0.10176502345845165
2009-12-16,32681659,8850250,3436328,3435187,0.2708017362276499,0.10514545788510919,0.10511054533675906
2009-12-17,32623296,9093264,3505967,3503418,0.2787352939445481,0.10746820309020891,0.1073900687410616
2009-12-18,34701895,10018510,3847628,3846726,0.28870210113885714,0.11087659622046576,0.11085060340364698
2009-12-19,32112377,9155116,3703235,3702660,0.28509617958209693,0.11532111123383984,0.11530320536533312
2009-12-20,25900393,6895650,3026337,3026115,0.2662372729247776,0.1168452154374646,0.11683664413895187
2009-12-21,32584489,9132408,3651961,3651370,0.2802685658197678,0.11207666936253013,0.11205853189841339
2009-12-22,31833785,8930561,3527020,3526031,0.28053720284911143,0.1107948677796247,0.11076380015759986
2009-12-23,34348079,9348609,3647159,3645738,0.27217268831831903,0.10618232827518534,0.10614095769373304
2009-12-24,36839768,10023750,3911822,3909883,0.27209047570549305,0.10618476207559178,0.10613212873653276
2009-12-25,24519477,6501057,2985506,2981156,0.2651384856210432,0.1217605905705085,0.12158318058741628
2009-12-26,25751960,7033130,3017232,3016059,0.27311047392120835,0.1171651400514757,0.11711959012051898
2009-12-27,22322061,5756204,2580160,2579951,0.25787063300292923,0.11558789307134319,0.11557853013662135
2009-12-28,28291056,7697047,3184912,3183847,0.2720664438966152,0.11257663906218277,0.1125389946561203
2009-12-29,15550477,1917932,766408,765209,0.12333589509826612,0.04928517626822637,0.04920807252407756
2009-12-30,30957541,8178582,3264745,3263395,0.2641870683462876,0.1054587959683232,0.10541518785358307
2009-12-31,35798794,9493272,3767522,3766452,0.2651841288284739,0.10524158998205359,0.10521170070701265
2010-01-01,22304871,6360202,3032541,3030126,0.2851485668758183,0.13595868812691184,0.13585041581276125
2010-01-02,22079256,6179782,2711553,2711438,0.27989086226456183,0.12280998055369256,0.12280477204485514
