Identifier,battery/assualt,burglary,homicide,kidnapping,robbery,sexual offense,theft,theft from a vehicle,theft of cattle,nhs,ahs,comp,mcomp,prox,cohe,nmi,nmmi,poverty_rate,active_unoccupied,aver_income,PI_type,female_rate,male_to_female_ratio,female_headed_household_rate,male_to_female_household_ratio,adult_rate,nev_mar_rate,foreign_ent_rate,no_spanish_rate,popu
11046,66.0,39.0,16.0,1.0,133.0,7.0,7.0,34.0,1.0,14,2.671845834573528,3.234839896955205,3.766860951073603,0.055502319108585725,0.0024364555448772446,0.0024455916942728714,0.0020896853255771832,8.72484,5.994528803076557,1796.1,"PI<40%,1~4999",52.7591760617106,0.8954000000000001,20.746020229610345,3.8202016046081053,63.88206041083892,32.95757935330762,6.340157708167547,0.0,70782
12001,2284.0,279.0,1199.0,30.0,5377.0,259.0,69.0,4127.0,5.0,32,7.899798719433085,0.32119875896677075,0.2693985299966485,0.3789277847698459,0.10359432108288502,0.10371135952022931,0.11230565708664791,13.626369999999998,4.549595365497723,2379.67,"PI<40%,>5000",51.60885652764469,0.9377,28.558117836439813,2.501631325030854,64.73250283871181,34.09371482967025,9.005901335836151,0.0156967787425108,789971
12002,3.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,4,0.7545216984812527,0.5474782808858473,0.5266510393469898,0.9320300317574324,0.8288861533248663,0.8303282198519305,0.8303282198519653,59.337059999999994,4.7490667772708415,663.83,"PI<40%,>5000",53.05869660766373,0.8847,17.857285628622826,4.599955227221849,49.886122987173856,36.39332581200641,1.3147314248954647,8.374955048547568,25027
12003,4.0,0.0,4.0,1.0,10.0,4.0,2.0,2.0,0.0,39,8.198079414810278,2.2911220976026705,2.257406489486067,0.18209277709663207,0.03376089664475221,0.03380027501310167,0.03380027501302937,52.58933999999999,5.9260601667270745,1032.63,"PI<40%,1~4999",51.988063764625814,0.9235,21.15041461110528,3.7280397022332505,57.33057613276444,37.29098786207884,1.8257459324818486,0.0,38203
12004,4.0,0.0,6.0,0.0,5.0,2.0,1.0,3.0,0.0,4,0.7135426811740713,0.586225511522912,0.6028329245435711,0.8372077856948493,0.6225171342048379,0.6254593421257398,0.6254593421257649,65.37484,1.7054263565891472,646.79,PI>40%,52.99667914184808,0.8869,17.44462652640482,4.732424242424242,46.50255653365664,34.17480549577884,1.824468085106383,45.42195983342997,18971
12005,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,10,2.0199065797460514,0.5476277359541659,0.5290872867479174,0.9065806384250824,0.7617283539368346,0.7624845589610522,0.7624845589611334,31.51794,1.7241379310344827,1080.99,"PI<40%,1~4999",53.081211390688566,0.8839,20.68111455108359,3.8353293413173652,55.67274370950731,38.58729826032278,5.963231886296925,0.662950128069911,6637
12006,0.0,0.0,6.0,0.0,0.0,3.0,2.0,1.0,0.0,11,2.3088151958295975,0.5307988142892958,0.5074800169085215,0.9326232359758982,0.8327095907718908,0.8331595269934978,0.8331595269936021,42.46022,2.323232323232323,1352.25,"PI<40%,1~4999",51.98159657760917,0.9238,21.689590624237,3.6105065666041276,57.09903947049803,34.29240548678488,2.798584245616923,0.0,12389
12007,33.0,3.0,52.0,0.0,39.0,4.0,7.0,45.0,0.0,31,6.968058782632854,0.549585637661926,0.5311032240821207,0.9319256708912022,0.8239764033768874,0.8241378566077961,0.8241378566051121,23.44664,4.493801652892563,1774.9,"PI<40%,1~4999",51.38746465305615,0.946,24.30564243713249,3.1142710075923303,61.27528665983033,35.32646612221447,6.731102225860278,0.003107423635064168,32181
12008,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,5,0.9534374342391772,0.501118424472791,0.4850427075028304,0.9610074683843097,0.8818307783007178,0.8825344981487144,0.8825344981487571,47.17987,4.175543246697912,1012.23,"PI<40%,1~4999",52.145411203814064,0.9177,21.439825475699912,3.6642170717919726,58.76042908224076,33.032112312409225,4.473393142435787,0.03575685339690107,8390
12009,3.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,4,0.7216379607467333,0.57589348309286,0.5479614614159377,0.9103346816968411,0.7699635340139618,0.7720119680724697,0.7720119680724278,61.59616,5.212355212355212,727.39,PI>40%,52.1906764808973,0.9161,12.180161233788994,7.210071942446043,49.78969505783386,35.8604407135362,0.21056325671170378,23.711882229232387,5706
12010,5.0,0.0,18.0,0.0,2.0,0.0,0.0,2.0,1.0,7,1.3159035259901497,0.6802896757391818,0.6390939359341693,0.7321944855149625,0.47871897782263806,0.48056243995713843,0.48056243995716424,66.02211,3.104804720427086,610.22,PI>40%,51.884894271288104,0.9273,17.87762543203312,4.593584023794349,48.27455297824684,35.733695652173914,0.6813078064933582,26.422687065790974,26341
12011,81.0,7.0,70.0,1.0,82.0,19.0,2.0,44.0,0.0,40,8.563295272187334,2.856854115105597,2.699655789976907,0.14973699718697642,0.01377398999984548,0.013789848742835556,0.013789848742914045,32.565,1.973066082054494,1471.85,"PI<40%,1~4999",50.88883814991193,0.9651000000000001,25.43613198301209,2.931415360904187,61.05910365972992,33.71259181760718,3.2619775739041796,0.0065235827516472045,61316
12012,46.0,5.0,57.0,0.0,36.0,11.0,13.0,26.0,4.0,17,3.675260395249196,0.5685313281056817,0.5611624101349367,0.8735459451944458,0.7209596141489705,0.721442572362669,0.7214425723631452,56.25649000000001,1.0706521739130435,875.14,PI>40%,51.01930132397512,0.96,17.13463383434602,4.836132885405002,50.26000957090445,36.70055211961802,0.9869688021568879,12.979741585579838,62690
12013,14.0,0.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,7,1.5294764975204405,0.6180514606271093,0.5939401788692323,0.8227319766545473,0.6133949403219265,0.6148416559450871,0.6148416559449551,41.498819999999995,9.142857142857142,1146.02,"PI<40%,1~4999",50.77967981149075,0.9693,20.161290322580644,3.96,58.72894864508975,34.80114953184388,2.4397083567021873,0.027721948853004365,14429
12014,6.0,0.0,3.0,0.0,1.0,0.0,1.0,3.0,0.0,10,2.0712723579386663,0.5299626996721013,0.5092474556807228,0.9368020359652486,0.8342458034379081,0.8347529954954038,0.8347529954951174,25.67012,3.2649712879409356,1604.71,"PI<40%,1~4999",50.975431120580595,0.9617,21.54368673415024,3.6417310664605873,67.181570011319,29.34333642417601,3.4640171858216973,0.013316465809974032,15019
12015,5.0,0.0,2.0,0.0,4.0,2.0,2.0,2.0,0.0,3,0.45780270992779565,0.33322355428036565,0.3206958207053489,0.6879938712277939,0.4187368968449763,0.42379995143048194,0.3602662974544938,15.95509,3.3211083944580277,1640.67,"PI<40%,1~4999",51.19798234552333,0.9531999999999999,22.078536508437153,3.5292857142857144,63.272383354350566,34.858141447368425,14.873519052193403,0.02364438839848676,12688
12016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.48589151332385944,0.7598100520927008,0.7908704074854946,0.6200535802457064,0.3614475441000589,0.36599683362642277,0.36599683362642155,60.38185,3.7770734284204965,701.93,"PI<40%,1~4999",49.08253358925144,1.0373999999999999,11.194087304642391,7.933287482806052,56.046065259117086,36.7754971817505,12.940717628705148,0.0,13025
12017,0.0,0.0,2.0,0.0,2.0,3.0,0.0,8.0,0.0,28,5.755003625095852,1.1644031207394616,1.1203235305888863,0.38976958795162897,0.1376139733052324,0.1378184057678678,0.13781840576734852,31.642809999999997,4.215264988745652,1401.27,"PI<40%,1~4999",51.995648330726866,0.9231999999999999,25.183773482167165,2.9708108108108107,62.840824097368596,32.97114356964731,5.106970324361629,0.0,14707
12018,5.0,0.0,4.0,0.0,3.0,4.0,1.0,2.0,3.0,16,3.5271086885496263,0.5420198365828088,0.5301735241555766,0.9113885651257451,0.7965567411861907,0.796932222439192,0.7969322224394682,35.20525,1.6992353440951573,1207.85,"PI<40%,1~4999",50.74068641830449,0.9708,22.884657796074396,3.369739800835207,57.88354356116163,34.10559809088197,3.6500709113980743,0.11733646230566148,13636
12019,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,13,2.7379125382068787,0.5595417232386989,0.5404744053543675,0.8862443482341104,0.738114120743157,0.7387240346774174,0.7387240346768887,63.42388,16.302806918060675,799.77,PI>40%,52.54565578306586,0.9031,17.335640138408305,4.7684630738522955,52.78776978417267,35.1446012208546,1.5783618411903768,8.093525179856115,14456
12020,7.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,3,0.5726201236554793,0.533415110702431,0.5459274072644553,0.877049222379311,0.7306815230772561,0.7336519545934704,0.7336519545934653,61.230850000000004,5.780063678667647,718.12,PI>40%,52.007425086184035,0.9228000000000001,15.675934803451582,5.379204892966361,48.21002386634845,33.87632978723404,0.4646691235378946,29.424555820737204,18855
12021,150.0,31.0,75.0,2.0,107.0,5.0,0.0,41.0,0.0,23,5.027209958405264,4.774224823734042,4.8661103862080495,0.08382317891950306,0.005881638613670406,0.00589325956919331,0.0056458069691437155,35.50112,2.642658446733328,1225.88,"PI<40%,1~4999",51.048189490879395,0.9589,22.419313088377542,3.4604399611084102,60.66294582085489,33.02030733461692,2.7871505774559022,0.005445140212360468,73460
12022,102.0,24.0,97.0,0.0,67.0,24.0,15.0,89.0,3.0,16,3.1732232309850668,0.5021504396270808,0.47162899562104005,0.8397531599229254,0.6626101203763618,0.6632567245084378,0.6632567245079712,41.01339,4.5753566412890825,1167.9,"PI<40%,1~4999",48.06389502959424,1.0806,19.095269398388233,4.23689914573505,57.633887185338374,33.50971198928332,3.2415078707539355,0.0,42069
